Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
16051,Portersville,PA,40.953141,-80.14799,-5,1,"40.953141, -80.14799"
16250,Sagamore,PA,40.776212,-79.23196,-5,1,"40.776212, -79.23196"
18622,Huntington Mills,PA,41.2044,-76.27211,-5,1,"41.2044, -76.27211"
18847,Susquehanna,PA,41.944334,-75.57241,-5,1,"41.944334, -75.57241"
08078,Runnemede,NJ,39.850013,-75.0767,-5,1,"39.850013, -75.0767"
67490,Wilson,KS,38.817788,-98.44972,-6,1,"38.817788, -98.44972"
68629,Clarkson,NE,41.70879,-97.12748,-6,1,"41.70879, -97.12748"
68871,Rockville,NE,41.121028,-98.82619,-6,1,"41.121028, -98.82619"
71137,Shreveport,LA,32.607556,-93.75256,-6,1,"32.607556, -93.75256"
72017,Biscoe,AR,34.864607,-91.40408,-6,1,"34.864607, -91.40408"
62481,Yale,IL,39.122158,-88.01982,-6,1,"39.122158, -88.01982"
77298,Houston,TX,29.83399,-95.434241,-6,1,"29.83399, -95.434241"
78461,Corpus Christi,TX,27.777,-97.463213,-6,1,"27.777, -97.463213"
58281,Wales,ND,48.855352,-98.6171,-6,1,"48.855352, -98.6171"
60601,Chicago,IL,41.886456,-87.62325,-6,1,"41.886456, -87.62325"
72445,Minturn,AR,35.972767,-91.02349,-6,1,"35.972767, -91.02349"
72449,O Kean,AR,36.167303,-90.81515,-6,1,"36.167303, -90.81515"
72830,Clarksville,AR,35.490105,-93.4851,-6,1,"35.490105, -93.4851"
73759,Medford,OK,36.832446,-97.72414,-6,1,"36.832446, -97.72414"
80648,Nunn,CO,40.746862,-104.76208,-7,1,"40.746862, -104.76208"
80913,Colorado Springs,CO,38.743871,-104.76387,-7,1,"38.743871, -104.76387"
81401,Montrose,CO,38.436409,-107.8625,-7,1,"38.436409, -107.8625"
71251,Jonesboro,LA,32.229884,-92.69763,-6,1,"32.229884, -92.69763"
71711,Camden,AR,33.589009,-92.842649,-6,1,"33.589009, -92.842649"
71772,Whelen Springs,AR,33.832537,-93.1238,-6,1,"33.832537, -93.1238"
79548,Rule,TX,33.067644,-99.94686,-6,1,"33.067644, -99.94686"
65535,Leasburg,MO,38.091816,-91.29375,-6,1,"38.091816, -91.29375"
66537,Scranton,KS,38.771467,-95.72799,-6,1,"38.771467, -95.72799"
62527,Decatur,IL,39.853981,-88.981511,-6,1,"39.853981, -88.981511"
72125,Perry,AR,35.056424,-92.79432,-6,1,"35.056424, -92.79432"
74328,Colcord,OK,36.260756,-94.69267,-6,1,"36.260756, -94.69267"
76063,Mansfield,TX,32.57701,-97.13485,-6,1,"32.57701, -97.13485"
88535,El Paso,TX,31.694842,-106.299987,-7,1,"31.694842, -106.299987"
89013,Goldfield,NV,37.571495,-117.31507,-8,1,"37.571495, -117.31507"
91182,Pasadena,CA,33.786594,-118.298662,-8,1,"33.786594, -118.298662"
92101,San Diego,CA,32.719601,-117.16246,-8,1,"32.719601, -117.16246"
95973,Chico,CA,39.793465,-121.87946,-8,1,"39.793465, -121.87946"
97309,Salem,OR,44.984465,-122.457024,-8,1,"44.984465, -122.457024"
